id,title,thumbnail_image_url,introduction,curriculum,price,max_tutees,tutor,view_count,created_at,updated_at
1,Engineer II,http://dummyimage.com/122x100.png/cc0000/ffffff,nitzy,cituu,299.99,81,1,0,2025-01-16,2025-10-07
2,GIS Technical Architect,http://dummyimage.com/100x100.png/dddddd/000000,okiyy,tplrv,12.99,35,5,7,2025-06-05,2025-10-10
3,Budget/Accounting Analyst III,http://dummyimage.com/166x100.png/5fa2dd/ffffff,apzww,pajbh,1.99,1,5,5,2025-02-11,2025-10-01
4,Data Coordinator,http://dummyimage.com/174x100.png/ff4444/ffffff,rgzpy,ugzgk,5.49,56,4,9,2024-11-20,2025-10-04
5,GIS Technical Architect,http://dummyimage.com/183x100.png/ff4444/ffffff,qcusl,szkqb,29.99,45,5,3,2024-10-25,2025-10-01
6,Mechanical Systems Engineer,http://dummyimage.com/107x100.png/ff4444/ffffff,tytfn,gedbm,34.99,94,2,2,2025-02-25,2025-10-08
7,Teacher,http://dummyimage.com/243x100.png/cc0000/ffffff,xbkol,rrygf,19.99,35,5,8,2024-10-23,2025-10-02
8,Account Coordinator,http://dummyimage.com/112x100.png/cc0000/ffffff,aoozq,pqrbj,22.99,56,7,2,2025-06-23,2025-10-07
9,Data Coordinator,http://dummyimage.com/244x100.png/cc0000/ffffff,psxpy,rhawj,9.99,54,1,9,2025-01-21,2025-10-10
10,Accountant II,http://dummyimage.com/170x100.png/ff4444/ffffff,fnavm,qumfv,3.29,7,1,0,2025-01-04,2025-10-01
11,Financial Analyst,http://dummyimage.com/167x100.png/5fa2dd/ffffff,gembe,pcrhi,4.99,41,3,1,2025-07-14,2025-10-07
12,Financial Analyst,http://dummyimage.com/164x100.png/5fa2dd/ffffff,pmgtb,mrdvg,44.99,19,3,6,2025-08-12,2025-10-03
13,Executive Secretary,http://dummyimage.com/113x100.png/ff4444/ffffff,jljhk,qxqhu,39.99,90,6,3,2025-04-17,2025-10-06
14,Automation Specialist II,http://dummyimage.com/161x100.png/5fa2dd/ffffff,knkol,yuqde,9.99,73,4,6,2024-11-27,2025-10-05
15,Sales Representative,http://dummyimage.com/242x100.png/5fa2dd/ffffff,ndytk,bziev,39.99,33,5,1,2024-11-16,2025-10-11
16,Business Systems Development Analyst,http://dummyimage.com/100x100.png/ff4444/ffffff,rgqnv,irhki,3.79,16,2,4,2025-04-24,2025-10-08
17,Nuclear Power Engineer,http://dummyimage.com/212x100.png/cc0000/ffffff,gyncj,sqgtp,19.99,98,6,10,2025-08-25,2025-10-06
18,Accounting Assistant IV,http://dummyimage.com/153x100.png/cc0000/ffffff,oamuh,ktikq,14.99,9,3,9,2025-02-08,2025-09-30
19,Registered Nurse,http://dummyimage.com/131x100.png/5fa2dd/ffffff,rqmpk,gvuwx,8.99,68,6,9,2024-11-08,2025-10-03
20,Account Representative III,http://dummyimage.com/217x100.png/5fa2dd/ffffff,aqupf,osbaa,14.99,100,5,8,2024-11-28,2025-10-03
21,Help Desk Technician,http://dummyimage.com/184x100.png/cc0000/ffffff,hbzks,yvplu,2.39,60,5,5,2024-11-10,2025-10-05
22,Occupational Therapist,http://dummyimage.com/198x100.png/ff4444/ffffff,uedrl,zwmuc,2.99,34,6,5,2024-10-18,2025-10-10
23,Clinical Specialist,http://dummyimage.com/229x100.png/dddddd/000000,qwnkl,mrzhw,5.49,36,6,3,2025-05-22,2025-10-07
24,General Manager,http://dummyimage.com/114x100.png/ff4444/ffffff,nxcmj,jjtlg,79.99,29,7,7,2024-12-08,2025-10-03
25,Senior Editor,http://dummyimage.com/150x100.png/ff4444/ffffff,doloy,rskew,39.99,84,6,1,2025-04-14,2025-10-07
26,Compensation Analyst,http://dummyimage.com/161x100.png/ff4444/ffffff,wopjh,xmpdi,34.99,35,3,8,2024-12-26,2025-10-11
27,Graphic Designer,http://dummyimage.com/218x100.png/cc0000/ffffff,rzaex,uujdg,4.79,47,2,10,2025-07-03,2025-09-30
28,Computer Systems Analyst I,http://dummyimage.com/174x100.png/ff4444/ffffff,tzlge,gobdo,22.99,49,4,9,2024-10-31,2025-10-05
29,Business Systems Development Analyst,http://dummyimage.com/119x100.png/dddddd/000000,hqirc,glsxa,3.29,79,5,4,2025-02-21,2025-10-04
30,Internal Auditor,http://dummyimage.com/200x100.png/5fa2dd/ffffff,kahyn,lyisc,8.99,70,7,5,2024-12-04,2025-10-04
31,Web Designer II,http://dummyimage.com/208x100.png/cc0000/ffffff,lppfq,ovdzx,19.99,18,1,1,2024-11-24,2025-09-30
32,Junior Executive,http://dummyimage.com/185x100.png/5fa2dd/ffffff,vcuam,upkty,2.49,94,6,4,2025-05-03,2025-10-02
33,Project Manager,http://dummyimage.com/137x100.png/ff4444/ffffff,ditld,npfxb,8.99,64,3,1,2025-06-05,2025-10-05
34,VP Sales,http://dummyimage.com/149x100.png/cc0000/ffffff,wtngd,syisy,29.99,35,6,4,2025-03-16,2025-10-05
35,Nuclear Power Engineer,http://dummyimage.com/143x100.png/cc0000/ffffff,azfbo,kyadl,4.19,20,2,5,2024-12-03,2025-10-04
36,Data Coordinator,http://dummyimage.com/222x100.png/5fa2dd/ffffff,llxhn,zfkwb,19.99,12,1,0,2025-02-22,2025-10-07
37,Product Engineer,http://dummyimage.com/173x100.png/dddddd/000000,biecd,ryqma,22.99,37,2,8,2025-01-22,2025-10-08
38,Clinical Specialist,http://dummyimage.com/148x100.png/dddddd/000000,jupnk,xhvcj,14.99,49,6,8,2025-04-11,2025-10-01
39,Professor,http://dummyimage.com/136x100.png/5fa2dd/ffffff,kbdan,ujaig,19.99,31,1,7,2024-12-04,2025-10-05
40,Environmental Tech,http://dummyimage.com/190x100.png/cc0000/ffffff,qxgip,lbovp,19.99,85,5,4,2025-02-17,2025-10-05
41,Automation Specialist II,http://dummyimage.com/174x100.png/cc0000/ffffff,qhrib,jyryl,6.99,16,4,4,2025-03-28,2025-10-06
42,Human Resources Assistant I,http://dummyimage.com/168x100.png/dddddd/000000,qthee,vqtae,5.99,1,6,7,2025-04-26,2025-10-07
43,Software Test Engineer IV,http://dummyimage.com/247x100.png/5fa2dd/ffffff,qdchn,kshsn,39.99,87,7,8,2025-04-02,2025-10-08
44,VP Product Management,http://dummyimage.com/207x100.png/5fa2dd/ffffff,xywsk,fdzpy,1.79,46,3,4,2025-02-09,2025-10-02
